id,name
1,Академический
2,Алексеевский
3,Алтуфьевский
4,Арбат
5,Аэропорт
6,Бабушкинский
7,Басманный
8,Беговой
9,Бескудниковский
10,Бибирево
11,Бирюлёво Восточное
12,Бирюлёво Западное
13,Богородское
14,Братеево
15,Бутырский
16,Вешняки
17,Внуково
18,Войковский
19,Восточное Дегунино
20,Восточное Измайлово
21,Восточный
22,Выхино-Жулебино
23,Гагаринский
24,Головинский
25,Гольяново
26,Даниловский
27,Дмитровский
28,Донской
29,Дорогомилово
30,Замоскворечье
31,Западное Дегунино
32,Зюзино
33,Зябликово
34,Ивановское
35,Измайлово
36,Капотня
37,Коньково
38,Коптево
39,Косино-Ухтомский
40,Котловка
41,Красносельский
42,Крылатское
44,Кузьминки
45,Кунцево
46,Куркино
47,Левобережный
48,Лефортово
49,Лианозово
50,Ломоносовский
51,Лосиноостровский
52,Люблино
53,Марфино
54,Марьина Роща
55,Марьино
57,Метрогородок
58,Мещанский
59,Митино
60,Можайский
61,Молжаниновский
62,Москворечье-Сабурово
63,Нагатино-Садовники
64,Нагатинский Затон
65,Нагорный
66,Некрасовка
67,Нижегородский
68,Новогиреево
69,Новокосино
70,Ново-Переделкино
71,Обручевский
72,Орехово-Борисово Северное
73,Орехово-Борисово Южное
74,Останкинский
75,Отрадное
76,Очаково-Матвеевское
77,Перово
78,Печатники
79,Покровское-Стрешнево
80,Преображенское
81,Пресненский
82,Проспект Вернадского
83,Раменки
84,Ростокино
85,Рязанский
87,Савёловский
88,Свиблово
89,Северное Бутово
90,Северное Измайлово
91,Северное Медведково
92,Северное Тушино
93,Северный
95,Сокол
96,Соколиная Гора
97,Сокольники
98,Солнцево
100,Строгино
101,Таганский
102,Тверской
103,Текстильщики
104,Тёплый Стан
105,Тимирязевский
106,Тропарёво-Никулино
107,Филёвский Парк
108,Фили-Давыдково
109,Хамовники
110,Ховрино
111,Хорошёво-Мнёвники
112,Хорошёвский
113,Царицыно
114,Черёмушки
115,Чертаново Северное
116,Чертаново Центральное
117,Чертаново Южное
118,Щукино
119,Южное Бутово
120,Южное Медведково
121,Южное Тушино
122,Южнопортовый
123,Якиманка
124,Ярославский
125,Ясенево
