,id,name,short_name,square,population,population_density,square_housing_stock,living_square_per_person
0,1,Академический,ЮЗАО,"5,83",110 161,18895.54,2467,"22,7"
1,2,Алексеевский,СВАО,"5,29",79 193,14970.32,"1607,9","20,5"
2,3,Алтуфьевский,СВАО,"3,25",57 361,17649.54,"839,3","15,5"
3,4,Арбат,ЦАО,"2,11",35 796,16964.93,731,26
4,5,Аэропорт,САО,"4,58",79 283,17310.7,"1939,7","25,9"
5,6,Бабушкинский,СВАО,"5,07",88 092,17375.15,"1586,3","18,5"
6,7,Басманный,ЦАО,"8,37",110 928,13253.05,"1991,8","18,4"
7,8,Беговой,САО,"5,56",41 991,7552.34,"791,1","18,8"
8,9,Бескудниковский,САО,"3,3",78 567,23808.18,"1391,7","18,4"
9,10,Бибирево,СВАО,"6,45",158 939,24641.71,"2521,8","15,8"
10,11,Бирюлёво Восточное,ЮАО,"14,77",152 843,10348.21,"2122,2","14,7"
11,12,Бирюлёво Западное,ЮАО,"8,51",87 787,10315.75,"1183,2","13,2"
12,13,Богородское,ВАО,"10,24",110 049,10746.97,"1744,1","16,9"
13,14,Братеево,ЮАО,"7,63",108 582,14230.93,"1585,4","15,5"
14,15,Бутырский,СВАО,"5,04",70 957,14078.77,"1236,2","18,3"
15,16,Вешняки,ВАО,"10,72",120 953,11282.93,"1976,8","16,2"
16,17,Внуково,ЗАО,"17,42",24 687,1417.16,"416,6","17,8"
17,18,Войковский,САО,"6,61",70 499,10665.51,1531,"23,1"
18,19,Восточное Дегунино,САО,"3,77",98 046,26006.9,"1592,5","16,7"
19,20,Восточное Измайлово,ВАО,"3,85",77 314,20081.56,"706,6","9,5"
20,21,Восточный,ВАО,"3,14",13 503,4300.32,"227,5","18,4"
21,22,Выхино-Жулебино,ЮВАО,"14,97",225 043,15032.93,"3704,7","17,1"
22,23,Гагаринский,ЮЗАО,"5,5",81 420,14803.64,"2095,3","26,7"
23,24,Головинский,САО,"8,93",102 722,11503.02,"1806,4","17,6"
24,25,Гольяново,ВАО,"14,99",161 126,10748.9,"3024,1","19,1"
25,26,Даниловский,ЮАО,"12,6",94 232,7478.73,"2847,4","31,7"
26,27,Дмитровский,САО,"7,29",92 656,12710.01,"1364,5","15,5"
27,28,Донской,ЮАО,"5,73",50 460,8806.28,1094,23
28,29,Дорогомилово,ЗАО,"7,95",75 105,9447.17,"1906,2",28
29,30,Замоскворечье,ЦАО,"4,32",58 665,13579.86,"1072,3","19,2"
30,31,Западное Дегунино,САО,"7,53",83 251,11055.91,"1385,1","17,5"
31,32,Зюзино,ЮЗАО,"5,45",126 776,23261.65,"2132,3","17,5"
32,33,Зябликово,ЮАО,"4,38",133 536,30487.67,"1879,2","14,5"
33,34,Ивановское,ВАО,"10,19",125 737,12339.25,2075,"16,2"
34,35,Измайлово,ВАО,"15,24",107 379,7045.87,"2055,9","19,7"
35,36,Капотня,ЮВАО,"8,06",33 761,4188.71,"408,5","13,8"
36,37,Коньково,ЮЗАО,"7,18",154 850,21566.85,"3098,8","20,4"
